coefficient,value,model_domain,model_version
SNPNE_NMCAID_ORIGDIS_NEM95_GT,2.249,CMS-HCC,C28
CPA_HCC398,0.077,CMS-HCC,C28
INS_DISABLED_CHR_LUNG_V28,0.405,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF68,0.988,CMS-HCC,C28
CPA_HCC223,2.081,CMS-HCC,C28
CPD_D10P,1.515,CMS-HCC,C28
INS_HCC92,0.572,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM60_64,1.064,CMS-HCC,C28
CPA_HCC278,0.651,CMS-HCC,C28
CPD_HCC154,0.081,CMS-HCC,C28
INS_HCC6,0.812,CMS-HCC,C28
INS_HCC409,0.256,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF67,1.139,CMS-HCC,C28
CPD_HCC21,0.598,CMS-HCC,C28
CPD_HCC405,1.221,CMS-HCC,C28
CPD_D2,0,CMS-HCC,C28
INS_HCC80,0.242,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF70_74,1.292,CMS-HCC,C28
CPD_HCC35,0.151,CMS-HCC,C28
CPD_HCC401,0.472,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF45_54,1.677,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF67,2.09,CMS-HCC,C28
CPA_HCC201,0.229,CMS-HCC,C28
INS_HCC253,0,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF65,1.292,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM80_84,2.16,CMS-HCC,C28
CPA_HCC224,0.29,CMS-HCC,C28
CPA_HCC298,0.317,CMS-HCC,C28
CPD_HCC80,0.462,CMS-HCC,C28
CPD_HCC379,3.804,CMS-HCC,C28
INS_HCC78,0.418,CMS-HCC,C28
INS_HCC126,0,CMS-HCC,C28
INS_HCC200,0.015,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM95_GT,2.134,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF67,2.037,CMS-HCC,C28
CPD_F0_34,0.428,CMS-HCC,C28
INS_HCC381,0.558,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM35_44,1.201,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM66,1.359,CMS-HCC,C28
CPA_HCC135,0.676,CMS-HCC,C28
CPA_HCC196,1.116,CMS-HCC,C28
CPA_D4,0,CMS-HCC,C28
CPD_HCC267,0.649,CMS-HCC,C28
INS_F75_79,0.985,CMS-HCC,C28
INS_M60_64,0.761,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF80_84,1.336,CMS-HCC,C28
INS_HCC191,0.338,CMS-HCC,C28
INS_HCC401,0.229,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM68,1.463,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM95_GT,2.639,CMS-HCC,C28
CPA_HCC238,0.31,CMS-HCC,C28
CPA_HCC254,0.006,CMS-HCC,C28
CPA_HCC405,0.76,CMS-HCC,C28
CPD_M35_44,0.215,CMS-HCC,C28
CPD_HCC228,0.268,CMS-HCC,C28
INS_HCC35,0.12,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF70_74,1.153,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF55_59,1.693,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF65,2.06,CMS-HCC,C28
CPA_D8,0.208,CMS-HCC,C28
INS_M85_89,1.127,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM90_94,2.134,CMS-HCC,C28
INS_HCC399,0.006,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM35_44,1.569,CMS-HCC,C28
CPA_D6,0,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF0_34,1.562,CMS-HCC,C28
CPA_HCC94,0.134,CMS-HCC,C28
CPA_HCC193,1.26,CMS-HCC,C28
CPD_HCC227,0.075,CMS-HCC,C28
CPD_HCC383,0.92,CMS-HCC,C28
INS_HCC111,3.779,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM80_84,1.327,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM66,1.018,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF65,1.707,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM85_89,2.639,CMS-HCC,C28
CPA_HCC382,1.066,CMS-HCC,C28
CPD_HCC65,0.047,CMS-HCC,C28
CPD_HCC108,0.268,CMS-HCC,C28
INS_HCC300,0.161,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM68,1.341,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM45_54,1.707,CMS-HCC,C28
CPA_HCC249,0.231,CMS-HCC,C28
CPD_HCC264,0.362,CMS-HCC,C28
CPD_HCC277,1.705,CMS-HCC,C28
INS_F95_GT,0.416,CMS-HCC,C28
INS_HCC112,0.277,CMS-HCC,C28
INS_HCC227,0.195,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF95_GT,1.342,CMS-HCC,C28
CPA_HCC136,0.676,CMS-HCC,C28
CPA_HCC181,1.293,CMS-HCC,C28
CPA_HCC198,0.569,CMS-HCC,C28
CPD_HCC49,12.553,CMS-HCC,C28
CPD_HCC409,0.391,CMS-HCC,C28
INS_F0_34,0.706,CMS-HCC,C28
INS_HCC328,0.16,CMS-HCC,C28
CPD_D3,0,CMS-HCC,C28
INS_M35_44,0.931,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM75_79,1.68,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM90_94,1.822,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM65,1.359,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM68,1.714,CMS-HCC,C28
CPA_HCC264,0.383,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF69,0.629,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF60_64,1.573,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM67,1.905,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM0_34,1.785,CMS-HCC,C28
CPA_HCC108,0,CMS-HCC,C28
CPA_HCC190,0.66,CMS-HCC,C28
CPD_HCC48,0.062,CMS-HCC,C28
CPD_HCC63,0.927,CMS-HCC,C28
INS_F85_89,0.761,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEF69,1.139,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF68,2.09,CMS-HCC,C28
CPD_HCC278,0.948,CMS-HCC,C28
INS_HCC38,0.343,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM66,2.095,CMS-HCC,C28
CPA_HCC280,0.263,CMS-HCC,C28
CPA_HF_KIDNEY_V28,0.143,CMS-HCC,C28
INS_HF_KIDNEY_V28,0,CMS-HCC,C28
INS_D6,0,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM55_59,1.648,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF69,1.036,CMS-HCC,C28
